filename,x1,y1,x2,y2
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,543,178,692,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,543,178,692,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,543,178,692,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,543,178,692,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,543,178,692,327
face_0.jpg,194,194,344,344
face_1.jpg,974,178,1123,327
face_2.jpg,559,178,709,327
face_0.jpg,194,194,344,344
face_1.jpg,974,178,1123,327
face_2.jpg,559,178,709,327
face_0.jpg,194,194,344,344
face_1.jpg,559,178,709,327
face_2.jpg,958,178,1107,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,559,178,709,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,559,178,709,327
face_0.jpg,194,194,344,344
face_1.jpg,559,178,709,327
face_2.jpg,958,178,1107,327
face_0.jpg,194,194,344,344
face_1.jpg,559,178,709,327
face_2.jpg,958,178,1107,327
face_0.jpg,194,194,344,344
face_1.jpg,974,178,1123,327
face_2.jpg,559,178,709,327
face_0.jpg,974,178,1123,327
face_1.jpg,194,194,344,344
face_2.jpg,559,178,709,327
face_0.jpg,974,178,1123,327
face_1.jpg,194,194,344,344
face_2.jpg,559,178,709,327
face_0.jpg,974,178,1123,327
face_1.jpg,559,178,709,327
face_2.jpg,194,194,344,344
face_0.jpg,974,178,1123,327
face_1.jpg,559,178,709,327
face_2.jpg,194,194,344,344
face_0.jpg,559,178,709,327
face_1.jpg,974,178,1123,327
face_2.jpg,194,194,344,344
face_0.jpg,559,178,709,327
face_1.jpg,974,178,1123,327
face_2.jpg,194,194,344,344
face_0.jpg,559,178,709,327
face_1.jpg,194,194,344,344
face_2.jpg,974,178,1123,327
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,559,178,709,327
face_0.jpg,958,178,1107,327
face_1.jpg,194,194,344,344
face_2.jpg,552,154,731,333
face_0.jpg,194,194,344,344
face_1.jpg,958,178,1107,327
face_2.jpg,552,154,731,333
face_0.jpg,958,178,1107,327
